Price,Close,High,Low,Open,Volume
Ticker,HES,HES,HES,HES,HES
Date,,,,,
2025-02-12,144.31124877929688,146.95229795332543,144.12188766733163,145.74639067283877,1740800
2025-02-13,145.35769653320312,145.45734986371824,142.63690056558863,143.61360357270942,1360000
2025-02-14,146.0553436279297,148.6664953111485,145.54705533027848,146.00550935461104,1650400
2025-02-18,147.4705352783203,148.27779872736082,145.28792508956118,146.4440132125918,1873400
2025-02-19,148.7661590576172,149.74284691255122,147.87916376739162,148.24791000493838,2026600
2025-02-20,150.45045471191406,150.7893034225728,148.5967323672785,149.18473722529532,1023700
2025-02-21,147.6100616455078,150.58997450316468,147.45059806890836,149.29435955604066,1737900
2025-02-24,148.24790954589844,149.26447089796713,147.6100704089167,148.45720740352138,1534800
2025-02-25,146.4539794921875,149.35416067968941,146.25465761696026,148.287765075933,1816600
2025-02-26,144.97897338867188,147.00211999300993,144.31123677018783,147.00211999300993,1679300
2025-02-27,146.41412353515625,148.5170020480029,144.76968382191532,145.7563476498599,1998600
2025-02-28,148.43727111816406,148.69638804087003,144.83945568542762,146.4938561796576,2402200
2025-03-03,143.6036376953125,150.0119419029739,142.15853503928636,149.2843949818925,2527800
2025-03-04,141.9093780517578,144.36108129120188,140.34468531697073,142.32795856438784,3059600
2025-03-05,140.8629150390625,141.23167647605982,137.982670599875,140.3347052261768,1967400
2025-03-06,142.85617065429688,143.6435126271938,139.42777949777482,141.07221925980224,2253200
2025-03-07,146.93235778808594,147.89908486870556,143.0455279228103,143.0455279228103,1408400
2025-03-10,147.73963928222656,150.39064921638075,145.86598012853506,148.66649288020062,2121000
2025-03-11,144.12188720703125,148.78608313886085,143.72324344111388,148.5369269833413,3187800
2025-03-12,143.54383850097656,144.66005317559998,142.05886238704875,143.63353106434073,1534100
2025-03-13,143.4342041015625,144.88928264277155,142.59704312528083,142.69669645639027,1542500
2025-03-14,147.6300048828125,147.8592242796962,143.0853992009766,143.9026234542197,1960000
2025-03-17,150.4499969482422,151.1300048828125,147.91000366210938,148.42999267578125,2394600
2025-03-18,152.82000732421875,153.08999633789062,150.6199951171875,152.0,1474400
2025-03-19,156.3800048828125,157.10000610351562,152.8000030517578,152.82000732421875,2999400
2025-03-20,157.3699951171875,157.77999877929688,154.86000061035156,155.27000427246094,1796400
2025-03-21,156.5800018310547,157.0,155.39999389648438,156.52999877929688,2696300
2025-03-24,157.35000610351562,158.52999877929688,156.47999572753906,156.5800018310547,2349100
2025-03-25,158.2899932861328,160.0800018310547,157.7100067138672,157.7100067138672,1540600
2025-03-26,160.52000427246094,161.6300048828125,159.75999450683594,159.8800048828125,2513600
2025-03-27,159.07000732421875,160.64999389648438,158.1699981689453,160.11000061035156,2169300
2025-03-28,158.4499969482422,159.74000549316406,157.66000366210938,158.58999633789062,1819900
